Well name,,Ground Elevation(masl),Datum Elevation(masl),Surveyed Stickup(m),Total Depth of Piezometer(mbgs),Bottom of Piezometer Elevation(masl),Depth Interval of Screen(mbgs),Elevation Interval of Screen(masl),Depth Interval of Sand(mbgs),Elevation Interval of Sand(masl),Time(hh:mm),Observed Depth to Groundwater(mbtoc),Observed Depth to Groundwater(mbgs),Depth to Product(mbtoc),Observed Product Thickness(m),Corrected Product Thickness(m),Corrected Depth to Groundwater(mbtoc),Corrected Depth to Groundwater(mbgs),Observed Groundwater Surface Elevation(masl),Corrected Groundwater Surface Elevation(masl),Depth to Bottom of Well(mbtoc),Measured Stick up(m),Easting(m),Northing(m)
,30-May-2017,,,,,,,,,,11:15,1.58,0.30,,N/A,N/A,1.58,0.30,949.60,949.60,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,14:05,1.77,0.49,,N/A,N/A,1.77,0.49,949.41,949.41,4.85,N/M,,
,15-May-2018,,,,,,,,,,14:20,2.70,1.42,,N/A,N/A,2.70,1.42,948.48,948.48,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,13:15,1.68,0.40,,N/A,N/A,1.68,0.40,949.50,949.50,4.86,N/M,,
,12-Oct-2018,,,,,,,,,,---,1.94,0.66,,N/A,N/A,1.94,0.66,949.24,949.24,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-53,07-Jun-2016,949.62,951.18,1.56,7.50,942.12,4.50 - 7.50,945.12 - 942.12,N/A,N/A,14:20,7.41,5.85,,N/A,N/A,7.41,5.85,943.77,943.77,8.37,N/M,645573.480,5867638.767
,18-Oct-2016,,,,,,,,,,14:05,6.37,4.81,,N/A,N/A,6.37,4.81,944.81,944.81,N/M,N/M,,
,30-May-2017,,,,,,,,,,10:05,4.69,3.13,,N/A,N/A,4.69,3.13,946.49,946.49,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,13:55,5.28,3.72,,N/A,N/A,5.28,3.72,945.90,945.90,8.36,N/M,,
,15-May-2018,,,,,,,,,,14:00,7.05,5.49,,N/A,N/A,7.05,5.49,944.13,944.13,8.37,N/M,,
,10-Oct-2018,,,,,,,,,,13:05,6.88,5.32,,N/A,N/A,6.88,5.32,944.30,944.30,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-54,07-Jun-2016,949.95,951.18,1.23,6.00,943.95,5.00 - 6.00,944.95 - 943.95,N/A,N/A,13:15,3.32,2.09,,N/A,N/A,3.32,2.09,947.86,947.86,6.70,N/M,645602.462,5867660.600
,18-Oct-2016,,,,,,,,,,15:50,2.65,1.42,,N/A,N/A,2.65,1.42,948.53,948.53,6.61,N/M,,
,30-May-2017,,,,,,,,,,13:20,2.20,0.97,,N/A,N/A,2.20,0.97,948.98,948.98,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:50,2.44,1.21,,N/A,N/A,2.44,1.21,948.74,948.74,N/M,N/M,,
,15-May-2018,,,,,,,,,,13:30,3.38,2.15,,N/A,N/A,3.38,2.15,947.80,947.80,6.69,N/M,,
,11-Oct-2018,950.03,950.88,0.85,6.00,943.95,5.00 - 6.00,944.95 - 943.95,N/A,N/A,11:33,4.11,3.26,,N/A,N/A,4.11,3.26,946.77,946.77,N/M,N/M,645602.462,5867660.600
,12-Oct-2018,,,,,,,,,,---,3.83,2.98,,N/A,N/A,3.83,2.98,947.05,947.05,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-56,07-Jun-2016,949.96,951.18,1.22,3.90,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,13:21,3.690,2.474,3.660,0.030,0.024,3.666,2.450,947.490,947.514,5.16,N/M,645602.632,5867657.507
,18-Oct-2016,,,,,,,,,,13:35,3.579,2.363,3.517,0.062,0.050,3.529,2.313,947.601,947.651,N/M,N/M,,
,30-May-2017,,,,,,,,,,13:25,3.150,1.934,3.040,0.110,0.088,3.062,1.846,948.030,948.118,N/M,N/M,,
,31-Aug-2017,,,,,,,,,,---,3.79,2.57,,N/A,N/A,3.79,2.57,947.39,947.39,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,16:00,3.96,2.74,,N/A,N/A,3.96,2.74,947.22,947.22,5.16,N/M,,
,15-May-2018,,,,,,,,,,13:40,4.00,2.78,,N/A,N/A,4.00,2.78,947.18,947.18,N/M,N/M,,
,11-Oct-2018,950.03,950.90,0.87,3.90,946.06,0.90 - 3.90,949.06 - 946.06,N/A,N/A,11:29,3.84,2.97,,N/A,N/A,3.84,2.97,947.06,947.06,N/M,N/M,645602.632,5867657.507
,12-Oct-2018,,,,,,,,,,---,3.32,2.45,,N/A,N/A,3.32,2.45,947.58,947.58,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-57,07-Jun-2016,950.26,951.20,0.93,4.50,945.76,1.50 - 4.50,948.76 - 945.76,N/A,N/A,14:15,2.39,1.46,,N/A,N/A,2.39,1.46,948.81,948.81,3.37,N/M,645633.806,5867660.485
,18-Oct-2016,,,,,,,,,,15:05,1.73,0.80,,N/A,N/A,1.73,0.80,949.47,949.47,3.32,N/M,,
,30-May-2017,,,,,,,,,,12:10,1.07,0.14,,N/A,N/A,1.07,0.14,950.13,950.13,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:40,1.77,0.84,,N/A,N/A,1.77,0.84,949.43,949.43,3.35,N/M,,
,15-May-2018,,,,,,,,,,15:40,2.83,1.90,,N/A,N/A,2.83,1.90,948.37,948.37,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,14:00,1.81,0.88,,N/A,N/A,1.81,0.88,949.39,949.39,N/M,N/M,,
,12-Oct-2018,,,,,,,,,,---,1.70,0.76,,N/A,N/A,1.70,0.76,949.50,949.50,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
05-58,07-Jun-2016,950.89,951.92,1.04,4.50,946.39,1.50 - 4.50,949.39 - 946.39,N/A,N/A,14:20,2.71,1.67,,N/A,N/A,2.71,1.67,949.21,949.21,5.21,N/M,645659.277,5867664.637
,18-Oct-2016,,,,,,,,,,15:15,2.16,1.12,,N/A,N/A,2.16,1.12,949.76,949.76,N/M,N/M,,
,30-May-2017,,,,,,,,,,11:50,1.39,0.35,,N/A,N/A,1.39,0.35,950.53,950.53,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,14:53,1.95,0.91,,N/A,N/A,1.95,0.91,949.97,949.97,5.20,N/M,,
,15-May-2018,,,,,,,,,,15:45,3.29,2.25,,N/A,N/A,3.29,2.25,948.63,948.63,N/M,N/M,,
,10-Oct-2018,,,,,,,,,,14:05,2.31,1.27,,N/A,N/A,2.31,1.27,949.61,949.61,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
06-64,07-Jun-2016,951.21,952.19,0.98,5.00,946.21,2.00 - 5.00,949.21 - 946.21,N/A,N/A,10:56,3.70,2.72,,N/A,N/A,3.70,2.72,948.49,948.49,5.94,N/M,645638.050,5867716.983
,19-Oct-2016,,,,,,,,,,08:25,2.96,1.98,,N/A,N/A,2.96,1.98,949.23,949.23,N/M,N/M,,
,30-May-2017,,,,,,,,,,12:00,2.53,1.55,,N/A,N/A,2.53,1.55,949.66,949.66,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:07,2.42,1.44,,N/A,N/A,2.42,1.44,949.77,949.77,5.88,N/M,,
,15-May-2018,,,,,,,,,,15:50,3.74,2.76,,N/A,N/A,3.74,2.76,948.45,948.45,N/M,N/M,,
,12-Oct-2018,,,,,,,,,,12:15,3.07,2.09,,N/A,N/A,3.07,2.09,949.12,949.12,N/M,N/M,,
,,,,,,,,,,,,,,,,,,,,,,,,
06-65,07-Jun-2016,951.56,952.46,0.91,5.00,946.56,2.00 - 5.00,949.56 - 946.56,N/A,N/A,14:40,3.38,2.47,,N/A,N/A,3.38,2.47,949.08,949.08,6.02,N/M,645670.677,5867687.532
,18-Oct-2016,,,,,,,,,,15:30,2.69,1.78,,N/A,N/A,2.69,1.78,949.77,949.77,5.94,N/M,,
,30-May-2017,,,,,,,,,,11:55,2.15,1.24,,N/A,N/A,2.15,1.24,950.31,950.31,N/M,N/M,,
,17-Oct-2017,,,,,,,,,,15:05,2.41,1.50,,N/A,N/A,2.41,1.50,950.05,950.05,6.01,N/M,,
